agent_id,call_date,total_calls,unique_loans_contacted,completed_calls,avg_call_duration_min,connect_rate,presence
A001,2025-04-28,20,20,2,6.84,0.1,1
A002,2025-04-28,23,23,3,7.83,0.13,1
A003,2025-04-28,21,21,8,7.17,0.38,1
A004,2025-04-28,27,27,4,8.06,0.15,1
A005,2025-04-28,29,28,4,7.06,0.14,0
A006,2025-04-28,16,16,2,8.84,0.12,1
A007,2025-04-28,24,23,5,7.04,0.21,1
A008,2025-04-28,29,29,8,6.6,0.28,1
A009,2025-04-28,26,25,7,7.39,0.27,1
A010,2025-04-28,38,38,7,8.08,0.18,1
A011,2025-04-28,22,22,5,9.07,0.23,1
A012,2025-04-28,20,20,5,7.1,0.25,0
A013,2025-04-28,22,22,2,6.88,0.09,1
A014,2025-04-28,30,30,10,7.7,0.33,1
A015,2025-04-28,28,27,4,8.51,0.14,1
A016,2025-04-28,22,22,6,8.7,0.27,1
A017,2025-04-28,20,19,2,6.67,0.1,1
A018,2025-04-28,35,34,6,7.49,0.17,0
A019,2025-04-28,27,27,6,6.92,0.22,1
A020,2025-04-28,21,21,7,6.56,0.33,1
