call_id,agent_id,org_id,installment_id,status,duration,created_ts,call_date,missing_flag
C5333,A020,O2,L1826,completed,5.68,2025-04-28T15:40:00,2025-04-28,False
C3045,A018,O1,L1996,no_answer,14.27,2025-04-28T02:41:00,2025-04-28,False
C5803,A018,O1,L1849,failed,11.01,2025-04-28T19:42:00,2025-04-28,False
C2139,A007,O1,L1046,connected,9.02,2025-04-28T09:52:00,2025-04-28,False
C4814,A003,O1,L1887,completed,2.42,2025-04-28T12:58:00,2025-04-28,False
C8428,A009,O3,L1650,failed,2.42,2025-04-28T05:33:00,2025-04-28,False
C6820,A012,O3,L1214,failed,0.97,2025-04-28T23:57:00,2025-04-28,False
C3803,A003,O1,L1546,connected,13.01,2025-04-28T05:34:00,2025-04-28,False
C7216,A015,O2,L1276,connected,9.06,2025-04-28T23:22:00,2025-04-28,False
C1916,A011,O1,L1234,completed,10.65,2025-04-28T10:46:00,2025-04-28,False
C5386,A013,O1,L1067,connected,0.41,2025-04-28T19:21:00,2025-04-28,False
C4483,A011,O1,L1671,no_answer,14.55,2025-04-28T13:30:00,2025-04-28,False
C3340,A015,O2,L1271,connected,12.5,2025-04-28T08:25:00,2025-04-28,False
C9830,A018,O1,L1269,no_answer,3.26,2025-04-28T19:55:00,2025-04-28,False
C6930,A013,O1,L1224,connected,2.81,2025-04-28T17:23:00,2025-04-28,False
C2489,A016,O1,L1773,completed,2.83,2025-04-28T03:44:00,2025-04-28,False
C3621,A005,O3,L1811,no_answer,4.63,2025-04-28T20:21:00,2025-04-28,False
C7304,A003,O1,L1390,no_answer,7.92,2025-04-28T18:03:00,2025-04-28,False
C1188,A009,O3,L1696,completed,6.54,2025-04-28T23:16:00,2025-04-28,False
C5371,A018,O1,L1787,failed,4.44,2025-04-28T03:48:00,2025-04-28,False
C8123,A010,O3,L1161,no_answer,9.22,2025-04-28T00:06:00,2025-04-28,False
C9201,A009,O3,L1780,connected,2.18,2025-04-28T17:19:00,2025-04-28,False
C5889,A004,O3,L1861,connected,4.45,2025-04-28T05:13:00,2025-04-28,False
C3646,A012,O3,L1552,completed,5.56,2025-04-28T20:26:00,2025-04-28,False
C9005,A011,O1,L1019,completed,6.9,2025-04-28T12:23:00,2025-04-28,False
C4923,A010,O3,L1059,connected,11.8,2025-04-28T19:21:00,2025-04-28,False
C2403,A003,O1,L1749,no_answer,3.08,2025-04-28T02:21:00,2025-04-28,False
C3060,A018,O1,L1131,no_answer,7.76,2025-04-28T18:45:00,2025-04-28,False
C5342,A006,O1,L1540,no_answer,8.93,2025-04-28T07:13:00,2025-04-28,False
C4295,A018,O1,L1730,failed,0.79,2025-04-28T13:37:00,2025-04-28,False
C8177,A012,O3,L1921,no_answer,9.15,2025-04-28T04:07:00,2025-04-28,False
C4681,A008,O1,L1065,failed,2.64,2025-04-28T00:43:00,2025-04-28,False
C4770,A019,O1,L1602,connected,1.07,2025-04-28T00:14:00,2025-04-28,False
C1964,A003,O1,L1234,completed,14.24,2025-04-28T01:04:00,2025-04-28,False
C2160,A011,O1,L1526,connected,14.49,2025-04-28T09:30:00,2025-04-28,False
C4510,A016,O1,L1552,connected,12.15,2025-04-28T19:29:00,2025-04-28,False
C8744,A019,O1,L1248,no_answer,4.64,2025-04-28T13:53:00,2025-04-28,False
C2545,A007,O1,L1099,no_answer,1.56,2025-04-28T12:05:00,2025-04-28,False
C7735,A014,O3,L1478,completed,10.3,2025-04-28T22:59:00,2025-04-28,False
