agent_id,org_id,call_date,login_time,missing_flag
A001,O1,2025-04-28,11:58,False
A002,O1,2025-04-28,10:05,False
A003,O1,2025-04-28,10:24,False
A004,O3,2025-04-28,8:13,False
A005,O3,2025-04-28,,True
A006,O1,2025-04-28,11:29,False
A007,O1,2025-04-28,8:36,False
A008,O1,2025-04-28,9:31,False
A009,O3,2025-04-28,11:46,False
A010,O3,2025-04-28,11:11,False
A011,O1,2025-04-28,11:08,False
A012,O3,2025-04-28,,True
A013,O1,2025-04-28,10:01,False
A014,O3,2025-04-28,11:05,False
A015,O2,2025-04-28,8:05,False
A016,O1,2025-04-28,9:05,False
A017,O2,2025-04-28,8:57,False
A018,O1,2025-04-28,,True
A019,O1,2025-04-28,11:43,False
A020,O2,2025-04-28,9:50,False
